shortname,fullname,category_path,startdate,enddate,visible
PE 104,"Sports, Outdoor and Adventure (PATHFit 4)",UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-IMDBSYS31,Information Management (DB Sys),UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-PROGLAN31,Programming Languages,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-SOFTENG31,Software Engineering 1,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CC-HCI31,Human Computer Interaction,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CC-RESCOM31,Methods of Research in Computing,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-COMORG31,Comp. Organization & Assembly Lang.,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-EL,CS Elective 1,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-FRE,Free Elective 2,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
LIT 101,Literatures of the World,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-AUTOLAN32,Automata & Language Theory,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-INFOSEC32,Information Assurance & Security,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-SOFTENG32,Software Engineering 2,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-GRAPHICS32,Graphics and Visual Computing,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-OPSYS32,Operating Systems,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-EL,CS Elective 2,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-FRE,Free Elective 1,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-THESIS41,Thesis 1,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-PRACT41,Practicum,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-EL,CS Elective 3,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-THESIS42,Thesis 2,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-PROFIS10,Professional Issues in Computing,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-FRE,Free Elective 3,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
ELDNET1,.NET Programming Module 1,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
ELDROID1,ANDROID Programming Module 1,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
ELDROID2,ANDROID Programming Module 2,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
ELEMSYS,Embedded Systems & IoT,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
